Nombre,Web,Servicios,Contacto,Descripción corta
1 Simple Idea,http://www.1simpleidea.mx,"Desarrollo de videojuegos,Work for hire,Desarrollo edugames/advergames",contact@1simpleidea.mx,"Estudio de creación de contenido visual, animado e interactivo con más de 18 años de experiencia que ayuda a las marcas a crecer y evolucionar a través de soluciones de comunicación creativa."
2D Nutz,http://2dnutz.com,Desarrollo de videojuegos,Remz@2dnutz.com,"Estudio creativo, dedicado a la creación de contenidos digitales, proyectos transmedia, videojuegos y animación. "
Abstract Studios Mx,https://abstractstudios.com.mx/,"Desarrollo de videojuegos,Desarrollo de software,Work for hire,Desarrollo edugames/advergames",contacto@abstractstudios.com.mx,"Ayudamos a que tu idea tenga el mayor impacto posible gracias a la implementación de tecnologías de la información, gamificación y diseño interactivo."
Afterlife Game Studios,http://www.afterlife.mx,Desarrollo de videojuegos, contacto@afterlife.mx,Una compañía mexicana con el objetivo de crear videojuegos de talla internacional. Queremos crear una experiencia de calidad enfocada a revivir las emociones que nos transmitían los juegos de los 9’s.
Akinaba Games,https://www.facebook.com/akinabagames/,Desarrollo de videojuegos,"gerardo@akinaba.com
",Video juegos.
Aleb Media,https://alebmedia.com/,Publicidad & marketing,alebmedia@grupoaleb.com media@grupoaleb.com.mx,Empresa impulsora de nuevos proyectos. Cada empresa tiene un potencial inigualable y es por eso que se dedican a ser socios estratégicos de tu marca.
Alebrije,http://www.alebrije.co,"Desarrollo de videojuegos,Work for hire","contacto@alebrije.co contacto@alebrije-estudios.com
",Alebrije Estudios desarrolla videojuegos y aplicaciones para dispositivos móviles.
Alt3media,http://www.altm3dia.com,Desarrollo de videojuegos,hola@altm3dia.com,Producción de Video y fotografía gastronómica y de producto. Estrategias de Marketing de Contenidos. Diseño y desarrollo web.
Alucina Studio,http://www.alucinastudio.com,Desarrollo de videojuegos,"info@alucinastudio.com
",Desarrollo de videojuegos
Alusor Game Studio,http://alusorstroke.com,Desarrollo de videojuegos,"
contacto@alusorstroke.com ",Desarrollo de aplicaciones móviles y software empresarial.
Amano,https://amano.games/,Desarrollo de videojuegos,hola@amano.games,"Somos un par de amigos haciendo juegos de manera remota, por diversión en nuestro tiempo libre. Nos gusta jugar con pequeñas y divertidas ideas, combinar mecánicas, descubrir buen game feel y experimentar con diferente estilos de arte."
AMB Multimedia,http://www.ambmultimedia.com.mx,Desarrollo de videojuegos, judith@ambmultimedia.com.mx info@ambmultimedia.com.mx,Empresa que diseña y desarrolla productos digitales interactivos para resolver necesidades específicas.
Amber,https://amberstudio.com/,Desarrollo de videojuegos,contact@amberstudio.com,"Agencia global de desarrollo de juegos independiente con sede en Bucarest, Botosani San Francisco, Los Ángeles, Guadalajara y Montreal, que ofrece servicios de desarrollo de software premium para industrias creativas."
Animactiva,http://www.animactiva.mx,Desarrollo de videojuegos,info@animactiva.mx,Empresa de servicio completo de consultoría de ingeniería de software.
Ansimuz Games,http://ansimuz.com,Desarrollo de videojuegos,https://twitter.com/ansimuz,Desarrollo de videojuegos.
Apps-O-Rama,http://www.appsorama.com,Desarrollo de videojuegos,"
info@appsorama.com",Empresa de consultoría de desarrollo que se especializa en ayudar a startups en etapa inicial con amplias necesidades de desarrollo.
Arcella Sound,https://www.arcellasound.com/gameaudio,Generación/diseño sonoro,guido@arcellasound.com,"Estudio de subcontratación de audio de juegos con sede en Mérida, México."
Archway Studios,https://www.facebook.com/archwaystudios/,Generación/diseño sonoro,https://www.facebook.com/archwaystudios/,"Estudio de grabación profesional y Film Scoring, ubicado al centro de la Ciudad de México."
Arena Esports,http://arenaesports.gg/,Servicios para e-sports,"
info@arenaesports.gg","Compañía que combina la experiencia en creación de marcas, organización deportiva, creación de contenido y eventos para generar la mejor experiencia de esports posible."
Ares6,http://www.area6.com.mx,Desarrollo de videojuegos,info@area6.com.mx,Desarrollo de videojuegos
"Arkde
",https://www.arkde.co/,Educación y capacitación,"info@arkde.co
",Plataforma de educación online con mentoría en arte digital y desarrollo de videojuegos.
arteFacto Estudio,http://www.artefactoestudio.com,"Desarrollo de videojuegos,Work for hire,Desarrollo edugames/advergames","
ventas@artefactoestudio.com
",Estudio de Desarrollo de Videojuegos basado en Mexico.
Arvihd Producciones,http://www.arvihd.com.mx,"Desarrollo de videojuegos,Desarrollo edugames/advergames,Work for hire",hola@arvihd.com.mx,Empresa dedicada al desarrollo creativo de estratégias y herramientas tecnológicas para la creación de medios de comunicación de alto impacto. 
Authentic Illusions,http://www.jara-ai.com,Desarrollo de videojuegos,contact@authentic-illusions.com,Empresa dedicada a la elaboración de videojuegos con Inteligencia Artificial.
AVTOP Technology,https://www.avtop.com.mx,Desarrollo de videojuegos, ventas@avtop.com.mx ,Empresa que provee a los usuarios de una o varias herramientas que les permitiera mantenerse a salvo de los virus informáticos que cada vez proliferan más en las computadoras
Axolotl Bros,https://www.facebook.com/AxolotlBros/,Desarrollo de videojuegos,"
axolotlbrothers@gmail.com
",Estudio mexicano de desarrollo de videojuegos independiente formado por una familia. 
Aztec Game Studio,http://aztecgamestudio.com.mx/,Desarrollo de videojuegos,aztec.game.studio@gmail.com,"Somos un pequeño nuevo estudio en Querétaro, con preferencia por ideas originales, tanto en mecánicas como narrativa. Creemos en un diseño de juegos apasionado, donde el concepto dicte las mecáncias, y la narrativa se adapte a la experiencia que los jugadores quieran generar."
Bad Tomato Games,http://www.badtomatogames.com,Desarrollo de videojuegos,"
contact@badtomatogames.com
",Desarrollo de videojuegos con enfoque en la diversidad cultural.
Big Mini Geek,http://www.bigminigeek.com,Desarrollo de videojuegos,https://www.facebook.com/BigMiniGeek,"Editorial digital independiente dedicada a crear y publicar contenido de entretenimiento de autor, especializada en producción de arte y diseño de juegos."
Big Monster,http://www.big-monster.net,Desarrollo de videojuegos,contacto@big-monster.net,"Equipo de especialistas en programación y diseño de videojuegos, soluciones digitalesy experiencias multimedia."
BitAll Force,http://www.bitallforce.com,Desarrollo de videojuegos,contact@bitallforce.com,Estudio dedicado al desarrollo de videojuegos y APPS para celular ubicados en la CDMX.
BLEDA Game Studios,http://netsites.mx/bledagamestudios,Desarrollo de videojuegos,contacto@netsites.mx,División de Netsites Soluciones Web y Multimedia enfocada al desarrollo de videojuegos independientes tanto en 2D como 3D.
Brick Studios,http://facebook.com/BrickGamingStudios,Desarrollo de videojuegos,"brickgamingstudios@gmail.com
",
Bromio,http://bromio.com.mx,Desarrollo de videojuegos,info@bromio.com.mx,Desarrollo de videojuegos y experiencias digitales innovadoras pero que mantengan elementos familiares para los usuarios
Bromio Games,https://www.bromio.com.mx/,Desarrollo de videojuegos,"
brickgamingstudios@gmail.com
",Estudio de videojuegos en México que busca revolucionar la manera de jugar de la comunidad.
Bunker Media,http://bunkermedia.com.mx,Desarrollo de videojuegos,"contacto@bunkermedia.com.mx

","Desarrollamos plataformas que ayudan a agilizar los procesos productivos de las empresas, brindar servicio en linea, e-commerce, rentas, administración de inmuebles, seguridad, colaboración, procesos."
Caraquita Games,http://facebook.com/Caraquita-Games-128426803885176,Desarrollo de videojuegos,https://www.facebook.com/Caraquita-Games-128426803885176,Desarrollo de videojuegos
Cerevrovi,http://www.cerevrovi.com,Desarrollo de videojuegos,"
info@cerevrovi.com","Centro de Investigación y Desarrollo de Realidad Virtual, Robótica y Videojuegos"
CGBOT,http://cgbot.com,Desarrollo de videojuegos,https://www.facebook.com/CGBot/,Estudio de subcontratación de arte de videojuegos
Chido Games,https://facebook.com/ChidoGames,Desarrollo de videojuegos,"chidogamesmx@gmail.com
",Desarrollo de video juegos para el aprendizaje de idiomas
COCO School,http://cocoschool.mx/,Educación y capacitación,mflores@cocoschool.mx jcarlos@cocoschool.com,"Escuela privada especializada en formación superior en disciplinas profesionales como la animación, diseño, videojuegos, cine y comunicación."
Cometa,https://cometagames.mx/,Desarrollo de videojuegos,cometagamesmx@gmail.com,Desarrollo de videojuegos con pinguinos
Cosmogonia,http://www.cosmogoniacaotica.com,Desarrollo de videojuegos,"contact@cosmogonia.mx
",Desarrollo de videojuegos
Cubito Morado Studios,http://cubitomorado.blogspot.mx,Desarrollo de videojuegos,http://cubitomorado.blogspot.mx,Blog
Digitalbox,http://www.digitalbox.com.mx,"Desarrollo de videojuegos,Desarrollo edugames/advergames,Work for hire",,
Dog Biscuit Studios,https://dogbiscuitstudios.mx,"Desarrollo de videojuegos,Work for hire,Generación/diseño visual,Generación/diseño sonoro,Streamer (promo Twitch)",ogbiscuit@dogbiscuitstudios.mx,"Somos un  estudio de desarrollo multimedia independiente integrado por jóvenes de distintas partes de México. Surge por la necesidad de contar historias y crear videojuegos que tengan calidad internacional, para que a México se le empiece a reconocer como líder en creaciones de videojuegos además de gran consumidor, que busca reunir generaciones, padres que jugaron alguna consola retro y ahora pueden compartir su gusto con sus hijos. "
DOT Studio,http://dotstudio.me,Desarrollo de videojuegos,,
Dracma Studios,https://www.dracmastudios.com/,"Desarrollo de videojuegos,Work for hire",contact@dracmastudios.com,Desarrolladora independiente de videojuegos para PC y consolas.
Dreidel Interactive,https://www.dreidel.mx/ ,Desarrollo de videojuegos,"info@dreidel.mx
",Empresa desarrolladora de juegos de casino orgullosamente 1% mexicana.
Duck Media (grupo Bakke),http://www.gbmobile.com,Desarrollo de videojuegos,,
Dynamic Media Triad,https://www.dmtriad.com/,Desarrollo de videojuegos,dynamicmediatriad@gmail.com,Estudio basado en CDMX. Creadores de Broken Reality y Astrodogs.
Eliptica,http://www.eliptica.com.mx,Desarrollo de videojuegos,contacto@eliptica.com.mx,"Diseñamos y creamos personajes y entornos 2D / 3D para animación, videojuegos, broadcast o cine."
Ennui Studio,https://ennuistudio.com,Desarrollo de videojuegos,"contacto@ennuistudio.com
","
Empresa Regia dedicada al desarrollo indie de videojuegos desde Monterrey, Nuevo León, México."
EON Reality,http://eonreality.com,"Desarrollo de videojuegos,Work for hire","
richie.chen@eonreality.com
",Creadores de la plataforma AVR para empresas y educación.
Esports Latin America,https://www.facebook.com/EsportsLA/,Servicios para e-sports,contacto@esla.pro,Creador de videojuegos
Estación Pi,http://estacionpi.mx,Desarrollo de videojuegos,,
Evil Geometry,https://www.flowcode.com/page/evilgeometry,Desarrollo de videojuegos,evilgeometrystudio@gmail.com,"Estudio independiente de desarrollo de vídeo juegos para PC y móviles, con la misión de crear experiencias de juego que reflejen los enigmas de la mente humana con narrativas épicas y mecánicas de juego realmente divertidas."
EZ Esports,https://ezesport.com/,Servicios para e-sports,https://twitter.com/EZEsportsLATAM,"Creamos servicios de eSports para quien los necesite. Torneos, ligas, producción de eventos, gestión de jugadores y creación de contenido."
Farda,https://farda.games/,Desarrollo de videojuegos,,
Feline Arts,http://felinearts.net,Desarrollo de videojuegos,,
Figment,http://www.figment.com.mx,Desarrollo de videojuegos,"info@figment.com.mx
","Empresa donde el arte y la tecnología se unen para crear app, social media, videojuegos y más."
FireToken Studios,http://www.firetoken.com,Desarrollo de videojuegos,info@firetoken.com,Desarrollador de software para casinos
FlyMex,http://www.flymex.com.mx,"Work for hire,Desarrollo de videojuegos,Desarrollo edugames/advergames,Hardware","info@flymex.mx

",Desarrollo de  software y hardware de simulación de vuelo y accesorios de aviación.
FockaGames,http://fockagames.com,Desarrollo de videojuegos,contacto@fockagames.com,Desarrollo de videojuegos
GameCoder Studios,http://gamecoderstudios.com,Desarrollo de videojuegos,,
Gameloft,http://www.gameloft.com.mx,Desarrollo de videojuegos,https://www.facebook.com/GameloftLatam/?brand_redir=216238295505,Desarrollo de videojuegos
Gamelta Esports Professional League,https://www.facebook.com/GameltaMX/,Servicios para e-sports,"ggplforall@gmail.com
",Desarrollo de videojuegos
Gamers Arena,https://gamersarena.com.mx/,Servicios para e-sports,atencionaclientes@arenatheplacetoplay.com,Desarrollo de videojuegos
Gamers Clan,https://gamersclan.com/,Servicios para e-sports,contacto@gamersclan.com,"Comprometidos con la generación de experiencias memorables, medibles y bajo la premisa estratégica del gaming plasmada en nuestras creaciones."
Gargamel Studio,http://gargamel-estudio.com,Desarrollo de videojuegos,info@gargamel-estudio.com,"Gargamel Estudio es un laboratorio en el cual desarrollamos videojuegos, interactivos y talleres educativos."
Getaclub,https://getaclub.io/es/,Servicios para e-sports,contact@getaclub.io,GETA CLUB es un movimiento global de jugadores que se reúnen en una plataforma tecnológica con el ánimo de divertirse y generar dinámicas de competición. 
Growlinga,http://growlinga.com,Desarrollo de videojuegos,https://www.facebook.com/Growlinga,"Vivimos la vida a base de desarrollar juegos indies, comer pizza y beber café.
"
Gyroscopik Studios,http://www.gyroscopik.com,Desarrollo de videojuegos,info@gyroscopik.com,Desarrollo de videojuegos
Halberd Studios,http://halberdstudios.com/,Desarrollo de videojuegos,"hi@halberdstudios.com
mike@halberdstudios.com 
","Pequeña empresa productora de PI con sede en Guadalajara, México. Actualmente trabajando en # 9YearsofShadows"
Happy Spike,http://happyspike.com,Desarrollo de videojuegos,https://www.facebook.com/happyspikegames,"Somos un equipo joven de desarrollo de software, creamos videojuegos y aplicaciones de entretenimiento digital."
HGC Technologies,http://hcg.tech,"Desarrollo de videojuegos,Desarrollo de software",,
Hollow Games,http://hollowgames.com.mx,Desarrollo de videojuegos,Mandar correo en su sitio,Desarrollo de videojuegos
Hueyi Multimedia,http://hueyi.com,Desarrollo de videojuegos,,
Hyperbeard Games,http://hyperbeardgames.com,Desarrollo de videojuegos,https://www.facebook.com/HyperBeardGames/,Desarrollo de videojuegos
Hyperlogics Solutions Beyond,http://hyperlogics.com,Desarrollo de videojuegos,,
Hypnic,http://hypnicgames.com,Desarrollo de videojuegos,,
I-Xuup,http://ixuup.com,Desarrollo de videojuegos,,
IEBS,https://www.iebschool.com/es-mx/programas/master-esports-manager-marketing-management/,"Educación y capacitación,Servicios para e-sports","sjovacho@iebschool.com
",Escuela de negocios nativa digital 
Ignus,http://ignus.mx,Desarrollo de videojuegos,"contacto@ignus.mx
","¡Somos IGNUS! y nos encanta promover negocios brindando servicios y soluciones que combinen innovación, tecnología y arte, generando experiencias únicas que agreguen valor a nuestros clientes y sus productos."
Ihtoa Games,http://ihtoa.games/,Desarrollo de videojuegos,,
Ikita Studio,https://ikita.com.mx,Desarrollo de videojuegos,"contacto@ikita.com,mx",Soluciones de diseño y marketing digital para pymes
Ikoriko,http://ikoriko.com,Desarrollo de videojuegos,"
contacto@ikoriko.com","Empresa totalmente mexicana, desarrolladora de videojuegos y multimedia especializada en la educación a través de estos medios"
IMERTUAL,http://imertual.com,Desarrollo de videojuegos,contact@imertual.com,Desarrollo de videojuegos
Inflexion Games,http://inflexiongames.com,Desarrollo de videojuegos,,
Inflexion Labs,http://inflexionlabs.com,Desarrollo de videojuegos,,
Inoma,http://inoma.mx,Desarrollo de videojuegos, contacto@inoma.mx, ONG comprometida con la educación. Conoce nuestras herramientas digitales gratuitas en taktaktak.com y labtak.mx. 
Instituto Universitario Amerike,https://amerike.edu.mx/,Educación y capacitación,amerikegdl@amerike.edu.mx,"Amerike es un proyecto universitario internacional; un modelo académico consolidado en Europa, con una mirada global adaptada a las necesidades de los futuros profesionales mexicanos."
Inter Virtus,www.intervirtus.com,"Work for hire,Desarrollo de videojuegos,Publicidad & marketing,Generación/diseño visual,Desarrollo de software,Desarrollo edugames/advergames,Educación y capacitación",intervirtusinfo@gmail.com,"Nacimos en la Ciudad de México en 2014  con el fin de  ofrecer servicios enfocados en producción audiovisual e innovación tecnológica.

Somos una empresa innovadora en desarrollar  contenidos digitales para diferentes industrias. Creamos Soluciones atendiendo las necesidades de nuestros clientes."
